index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0
24,184,184,1998,45,-45,50,-35,2,2.73374109686722,0.566127745559801,19.2929203208371,17.6084321875
25,192,192,1998,45,-45,50,-35,2,2.82503177583127,0.384443884562821,17.2450203568654,17.6084321875
26,200,200,1998,45,-45,50,-35,2,2.79204393045613,0.395636097655229,16.0089631047266,17.6084321875
27,208,208,1998,45,-45,50,-35,2,2.70692131473738,0.397537522571916,15.5847485494697,17.6084321875
28,216,216,1998,45,-45,50,-35,2,2.53290481278396,0.478064587953438,15.1605339987742,17.6084321875
29,224,224,1998,45,-45,50,-35,2,2.55352332917364,0.474822758700616,14.7363194504298,17.6084321875
30,232,232,1998,45,-45,50,-35,2,2.19806514651501,0.441871013142555,17.0975355697921,17.6084321875
31,240,240,1998,45,-45,50,-35,2,2.26635476878591,0.408922222257685,21.1300100741867,17.6084321875
32,248,248,1998,45,-45,50,-35,2,2.55996459626992,0.485185875865419,25.1624846236822,17.6084321875
33,256,256,1998,45,-45,50,-35,2,2.73539521034405,0.445441607982252,29.1949591241198,17.6084321875
34,264,264,1998,45,-45,50,-35,2,2.76498466267037,0.509966477519175,32.6630022857588,17.6084321875
