index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
163,1288,192,6,3.39096106998408,0.399524597521774,25.2468177778358,-0.198430628796904,18.1777503125,98.5302634800353,-0.0323422526639133,0.051919877902912,40.7523686415954,4.91410055698866,-0.0155794013021804,52.5,3.39096106998408,2.6078928588414,4.17402928112676,2.99143647246231,3.79048566750585
164,1296,200,6,3.13222304867277,0.425598259538036,23.7453654970727,-0.0498012951147543,18.1777503125,102.351829650734,-0.0110435429009329,0.0583023294981199,41.4936648378774,5.17893102523251,-0.0101250019298088,52.5,3.13222304867277,2.29805045997822,3.96639563736732,2.70662478913473,3.55782130821081
165,1304,208,6,3.04387470546531,0.395312854816919,23.5273310470747,-0.0996634044439625,18.1777503125,100.476844246904,0.0130107897754197,0.0690396090291268,43.9621470047372,5.96369672968646,-0.00384611726151333,52.5,3.04387470546531,2.26906151002415,3.81868790090647,2.64856185064839,3.43918756028223
166,1312,216,6,3.14796102366867,0.472396751330761,24.0515866950817,-0.2447627901141,18.1777503125,68.5782272031302,-0.013505598659029,0.0775351879378156,44.4729181618164,6.69098759147734,0.00728378735415624,52.5,3.14796102366867,2.22206339106038,4.07385865627696,2.67556427233791,3.62035777499943
167,1320,224,6,3.03991623439645,0.59681955873968,21.3534437904176,-0.275380874236492,18.1777503125,88.6912664197832,0.0223461709460777,0.0847093961327329,44.4482638404108,8.28280369486867,-0.0153248320629679,52.5,3.03991623439645,1.87014989926668,4.20968256952622,2.44309667565677,3.63673579313613
168,1328,232,6,3.21868560196506,0.848608910577229,17.6530240843363,-0.133947199114975,18.1777503125,101.684144045883,-0.0548150684759532,0.0969333319611716,44.9596341858643,10.4198759114388,-0.0187092831187721,52.5,3.21868560196506,1.55541213723369,4.88195906669643,2.37007669138783,4.06729451254229
169,1336,240,6,2.78016505415744,0.811636952234087,17.4424457134059,0.0804822322719333,18.1777503125,68.4951076748869,-0.0236589518264405,0.095516623546687,46.2600135655871,10.1636182174625,-0.0330268170321004,52.5,2.78016505415744,1.18935662777863,4.37097348053625,1.96852810192335,3.59180200639153
170,1344,248,6,2.59089343954592,0.619657217741516,18.1387110116582,0.265948175488175,18.1777503125,83.8448132455985,-0.0206064307939092,0.091000237499554,49.2737211808236,7.72540890118014,-0.00506759737620751,52.5,2.59089343954592,1.37636529277255,3.80542158631929,1.9712362218044,3.21055065728744
171,1352,256,6,2.42604199319465,0.689401355019799,19.5845976588627,0.421322802085842,18.1777503125,80.2201034298824,0.0290625904917269,0.098953477218539,48.805954769784,7.9262227613158,-0.00954079358611793,52.5,2.42604199319465,1.07481533735584,3.77726864903346,1.73664063817485,3.11544334821445
172,1360,264,6,2.65854271712846,0.560441659059536,23.8252019251221,0.530245411633346,18.1777503125,52.5187349607237,-0.0370785404561724,0.109126295462846,49.4023295724728,5.68089137318545,-0.00131957341366209,52.5,2.65854271712846,1.56007706537177,3.75700836888515,2.09810105806892,3.218984376188
173,1368,272,6,2.36191439347909,0.726563556807018,28.2504582617184,0.661774761683004,18.1777503125,48.5572661015797,0.00405722972345904,0.11321021041942,48.7930653952233,5.79234607082981,-0.0110674346460788,52.5,2.36191439347909,0.937849822137335,3.78597896482085,1.63535083667207,3.08847795028611
174,1376,280,6,2.39437223126676,0.72241546412411,32.310487538063,0.689189622698146,18.1777503125,45.4696637691499,-0.000180993205523223,0.130857706538966,51.705213625034,5.20247464909653,-0.0445957952241954,52.5,2.39437223126676,0.978437921583505,3.81030654095002,1.67195676714265,3.11678769539087
175,1384,288,6,2.39292428562257,0.883012830192311,39.7077962055142,0.61195876650995,18.1777503125,45.0460824191844,-0.137663622190523,0.174447699600988,51.7626543273865,5.66864531383939,-0.0450620183563638,52.5,2.39292428562257,0.66221913844564,4.1236294327995,1.50991145543026,3.27593711581488
176,1392,296,6,1.2916153080984,1.22325738585187,44.7910092064739,0.424947787495671,18.1777503125,41.7494649856389,0.0029222927399922,0.20928727270892,55.2214069569116,5.35645537118578,-0.0388432687320738,52.5,1.2916153080984,-1.10596916817127,3.68919978436807,0.06835792224653,2.51487269395027
177,1400,304,6,1.31288379071403,1.17401138399388,46.9974979343018,0.464693534063804,18.1777503125,35.9796395532606,0.00812078602747704,0.163593225646042,53.148400611509,6.55809133552753,0.0321399596246629,52.5,1.31288379071403,-0.988178521913975,3.61394610334203,0.13887240672015,2.48689517470791
178,1408,312,6,1.4606858360528,1.12843201280515,49.9065431054103,0.668344786930142,18.1777503125,28.9236622224815,0.0611865036179132,0.114407402809066,51.4472582978024,5.51434986768418,NaN,52.5,1.4606858360528,-0.751040909045294,3.67241258115089,0.33225382324765,2.58911784885795
