index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD
173,1368,272,2001,50,-35,55,-25,6,2.81564056350264,0.634303385492272,36.1855342965988
174,1376,280,2001,50,-35,55,-25,6,2.937434259117,0.417787617242947,42.7992950088117
175,1384,288,2001,50,-35,55,-25,6,2.72017012082447,0.744388577993545,49.4130557739406
176,1392,296,2001,50,-35,55,-25,6,2.34008546117701,0.830806344697616,56.7539974933532
177,1400,304,2001,50,-35,55,-25,6,2.43658760480393,0.800915337519327,64.0949391741555
178,1408,312,2001,50,-35,55,-25,6,2.65653381479022,0.61990096330168,71.4358808448911
179,1416,320,2001,50,-35,55,-25,6,2.47539397360264,0.573546226673461,79.6232758157122
180,1424,328,2001,50,-35,55,-25,6,1.98021144565784,0.658600352080023,93.7358433202904
181,1432,336,2001,50,-35,55,-25,6,NaN,0.76606683338285,107.848411023087
182,1440,344,2001,50,-35,55,-25,6,NaN,1.12110138458777,121.960978561706
183,1448,352,2001,50,-35,55,-25,6,NaN,1.47519245068408,145.042667310238
184,1456,360,2001,50,-35,55,-25,6,NaN,0.758474919704624,183.072891617153
185,1462,1,2002,50,-35,55,-25,6,NaN,1.1616947565388,202.882098485431
186,1469,8,2002,50,-35,55,-25,6,NaN,1.1616947565388,202.882098485431
187,1477,16,2002,50,-35,55,-25,6,NaN,0.96186472912187,216.225158716375
188,1485,24,2002,50,-35,55,-25,6,0.962130988260149,1.53155943797511,230.688048248822
189,1493,32,2002,50,-35,55,-25,6,1.75177611558671,0.95380626495058,245.150938376719
190,1501,40,2002,50,-35,55,-25,6,1.78232248572699,1.17519042231803,259.613827798633
191,1509,48,2002,50,-35,55,-25,6,2.01487622453942,1.06260367028428,271.766954823336
192,1517,56,2002,50,-35,55,-25,6,2.02747087664633,0.980754854646446,276.990792579122
193,1525,64,2002,50,-35,55,-25,6,2.18619018490927,0.902499997791952,282.214630698099
194,1533,72,2002,50,-35,55,-25,6,1.92055720996907,0.929817305974298,287.438468759326
195,1541,80,2002,50,-35,55,-25,6,1.57287628455313,0.970836760884356,280.667528544665
196,1549,88,2002,50,-35,55,-25,6,2.73627828115583,0.612390018255371,269.898329003521
197,1557,96,2002,50,-35,55,-25,6,2.35940391186905,0.80971687771591,259.129129571055
198,1565,104,2002,50,-35,55,-25,6,2.40863719484279,0.835868938578803,248.359930165642
199,1573,112,2002,50,-35,55,-25,6,1.81060174038891,0.877337142021294,212.94570151892
200,1581,120,2002,50,-35,55,-25,6,2.4477145165825,0.683728518890664,174.01075489627
201,1589,128,2002,50,-35,55,-25,6,2.78034824929202,0.658405516137252,135.075808168948
202,1597,136,2002,50,-35,55,-25,6,3.28450358238385,0.460417813564435,98.6009004172685
203,1605,144,2002,50,-35,55,-25,6,3.2286595140072,0.373330717254705,79.346264485568
204,1613,152,2002,50,-35,55,-25,6,3.2348058092426,0.427881515796514,60.0916285735536
205,1621,160,2002,50,-35,55,-25,6,3.34185629895036,0.388201611438364,40.8369925556912
206,1629,168,2002,50,-35,55,-25,6,3.19929793149868,0.438034600481698,25.8487022848594
207,1637,176,2002,50,-35,55,-25,6,3.51515808447446,0.463284329245216,23.6594492434297
208,1645,184,2002,50,-35,55,-25,6,3.60356633783735,0.501861891640606,21.4701962093844
209,1653,192,2002,50,-35,55,-25,6,3.59896475008618,0.474883670218369,19.2809430932585
210,1661,200,2002,50,-35,55,-25,6,3.56285689635676,0.541835452066288,18.064654054261
211,1669,208,2002,50,-35,55,-25,6,3.51045084225823,0.501751493375885,17.8213290375306
212,1677,216,2002,50,-35,55,-25,6,3.49451728387601,0.52455029407272,17.5780040654541
213,1685,224,2002,50,-35,55,-25,6,3.71289701594261,0.520147978271906,17.3346791058448
214,1693,232,2002,50,-35,55,-25,6,3.75577433594092,0.612231415495659,18.3497907114278
215,1701,240,2002,50,-35,55,-25,6,3.56897173454561,0.488945017575049,20.1199643465215
216,1709,248,2002,50,-35,55,-25,6,3.21873478936419,0.380569979968673,21.8901379732457
217,1717,256,2002,50,-35,55,-25,6,2.93116703464935,0.386153234568881,23.6603115998706
218,1725,264,2002,50,-35,55,-25,6,2.96252765566589,0.34756535361426,28.0918144990836
219,1733,272,2002,50,-35,55,-25,6,2.78458006211861,0.339508606794186,33.4104271875157
220,1741,280,2002,50,-35,55,-25,6,2.88586421628266,0.474268828601853,38.7290397929484
221,1749,288,2002,50,-35,55,-25,6,2.15843208585871,0.661130209778227,44.0476525018614
222,1757,296,2002,50,-35,55,-25,6,2.19540710241432,0.598928089009407,52.6502115607592
223,1765,304,2002,50,-35,55,-25,6,1.86938671568,0.865400166488392,61.2527705553506
224,1773,312,2002,50,-35,55,-25,6,1.67554690225695,1.05074443893528,69.8553296227921
225,1781,320,2002,50,-35,55,-25,6,2.603172933685,0.589983769690891,80.3025074958804
226,1789,328,2002,50,-35,55,-25,6,2.59947384457361,0.435416652156007,103.662017158138
227,1797,336,2002,50,-35,55,-25,6,NaN,1.15813468883058,127.02152686192
228,1805,344,2002,50,-35,55,-25,6,NaN,1.38772407179301,150.381036507289
229,1813,352,2002,50,-35,55,-25,6,NaN,0.844681561362247,169.764914081163
230,1821,360,2002,50,-35,55,-25,6,NaN,1.25592302950225,182.522737954458
1,1,1,1998,40,-25,45,-15,7,2.63018286386962,0.786881760554459,131.543503078156
