tc,days,years,latmin,lonmin,latmax,lonmax,PhytC,stDevPhytC
96,25,2000,40,-45,45,-35,8.17909674576175,7.6389165931696
97,33,2000,40,-45,45,-35,12.9344742383384,8.03040430581273
98,41,2000,40,-45,45,-35,9.49176783673882,6.39115122667587
99,49,2000,40,-45,45,-35,13.4344983035906,7.04542117994772
100,57,2000,40,-45,45,-35,8.44324439336031,6.67590224105014
101,65,2000,40,-45,45,-35,13.1361065297088,8.65675601191695
102,73,2000,40,-45,45,-35,16.5733357586981,16.4735415876596
103,81,2000,40,-45,45,-35,18.8229264190504,13.353324861128
104,89,2000,40,-45,45,-35,12.2682805665624,9.08814134222078
105,97,2000,40,-45,45,-35,12.3548058308082,8.79245483340569
106,105,2000,40,-45,45,-35,16.3334574052485,13.0515671496963
107,113,2000,40,-45,45,-35,16.6023087552273,10.7940475432033
108,121,2000,40,-45,45,-35,21.6559934998553,11.8017922557381
109,129,2000,40,-45,45,-35,22.3004805314458,9.38372783953279
110,137,2000,40,-45,45,-35,32.6882316730006,14.6978601426281
111,145,2000,40,-45,45,-35,29.6239880901079,11.8036938873821
112,153,2000,40,-45,45,-35,23.9989087485109,9.76739218763701
113,161,2000,40,-45,45,-35,22.7087821065884,9.59478195505439
114,169,2000,40,-45,45,-35,19.7453397760955,9.51249538174135
115,177,2000,40,-45,45,-35,18.55069048134,9.92090574124881
116,185,2000,40,-45,45,-35,14.3661668490701,7.23292992983665
117,193,2000,40,-45,45,-35,13.1559995280952,9.0482615041209
118,201,2000,40,-45,45,-35,14.3646418555247,10.3397718151606
119,209,2000,40,-45,45,-35,11.9478371244504,9.6927899973233
120,217,2000,40,-45,45,-35,12.0603632592535,5.46984859172762
121,225,2000,40,-45,45,-35,10.5827230967747,4.44866661360802
122,233,2000,40,-45,45,-35,10.067682386881,5.08090741582209
123,241,2000,40,-45,45,-35,11.0434468930049,4.67608346087708
124,249,2000,40,-45,45,-35,10.8938016735618,6.05304741774281
125,257,2000,40,-45,45,-35,8.54245272198489,4.14035366910396
126,265,2000,40,-45,45,-35,10.7530070760474,5.02104346247586
127,273,2000,40,-45,45,-35,9.46532715895943,5.26103945359082
128,281,2000,40,-45,45,-35,8.74855338367428,4.22870351292987
129,289,2000,40,-45,45,-35,10.1143184426466,6.39218804594802
130,297,2000,40,-45,45,-35,9.12684242305322,6.72531901433108
131,305,2000,40,-45,45,-35,8.31423332984305,5.34471400701493
132,313,2000,40,-45,45,-35,7.12619924273966,5.88339936750561
133,321,2000,40,-45,45,-35,8.49333382855586,6.24292448887644
134,329,2000,40,-45,45,-35,14.6651213383096,7.30251217143603
135,337,2000,40,-45,45,-35,16.140900797248,8.70644054269331
136,345,2000,40,-45,45,-35,16.6656628371278,10.6845686888405
137,353,2000,40,-45,45,-35,13.7818599008717,7.59956123519472
138,361,2000,40,-45,45,-35,9.50888018332011,9.29286353777144
139,1,2001,40,-45,45,-35,11.7711874360871,8.45589714362872
140,9,2001,40,-45,45,-35,13.4904569308211,9.53587256372402
141,17,2001,40,-45,45,-35,14.9534395654209,9.53108972904674
142,25,2001,40,-45,45,-35,13.1390012562772,8.90272611646884
143,33,2001,40,-45,45,-35,8.94864192875517,14.3848355070087
144,41,2001,40,-45,45,-35,11.9737431486718,14.3054506061003
145,49,2001,40,-45,45,-35,14.3633800487458,11.948121825031
146,57,2001,40,-45,45,-35,12.8596836317918,8.61274213832909
147,65,2001,40,-45,45,-35,13.4444570255197,8.75539777629598
148,73,2001,40,-45,45,-35,18.2147633271955,8.57723592344104
149,81,2001,40,-45,45,-35,12.4934533158659,6.79584914992311
150,89,2001,40,-45,45,-35,14.2485401546764,7.92151340314732
151,97,2001,40,-45,45,-35,16.1751922247238,9.70950229228985
152,105,2001,40,-45,45,-35,25.1043080797379,15.5941882752338
153,113,2001,40,-45,45,-35,29.8161405730331,14.2287555157739
154,121,2001,40,-45,45,-35,25.9817895520397,11.1807382014711
155,129,2001,40,-45,45,-35,25.3989855076704,13.0615185716321
156,137,2001,40,-45,45,-35,33.040265809488,13.7837215666355
157,145,2001,40,-45,45,-35,25.1764945908305,12.3754366617298
158,153,2001,40,-45,45,-35,26.8074409034932,13.0688488332394
159,161,2001,40,-45,45,-35,22.0854642627802,11.4754466040602
160,169,2001,40,-45,45,-35,23.2507341444906,9.91506038243647
161,177,2001,40,-45,45,-35,20.6627734841034,9.33375803272858
162,185,2001,40,-45,45,-35,17.9933349506392,8.06323090310683
163,193,2001,40,-45,45,-35,13.2234234383951,4.7227127071162
164,201,2001,40,-45,45,-35,13.6455419418216,5.24515668513175
165,209,2001,40,-45,45,-35,10.9765036614488,4.41795187313097
166,217,2001,40,-45,45,-35,11.0986643516107,5.42823507584933
167,225,2001,40,-45,45,-35,11.4276763894233,7.26559337252752
168,233,2001,40,-45,45,-35,8.08292401249419,6.56143883909695
169,241,2001,40,-45,45,-35,9.91226190123813,5.61847778896023
