index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC
144,1136,40,2001,45,-25,50,-15,8,2.06670889081548,1.15697672590078
145,1144,48,2001,45,-25,50,-15,8,1.45487461461143,1.02007866893285
146,1152,56,2001,45,-25,50,-15,8,2.24675475913499,0.839192900382718
147,1160,64,2001,45,-25,50,-15,8,1.89080181410758,0.866492715382326
148,1168,72,2001,45,-25,50,-15,8,2.44426718414187,0.576027036846278
149,1176,80,2001,45,-25,50,-15,8,2.05288620115356,0.776962983051389
150,1184,88,2001,45,-25,50,-15,8,2.30308774392129,0.742526984058275
151,1192,96,2001,45,-25,50,-15,8,2.57326456410328,0.678254260213751
152,1200,104,2001,45,-25,50,-15,8,2.08837490356373,1.10210469324584
153,1208,112,2001,45,-25,50,-15,8,4.4477713453285,0.637355000808578
154,1216,120,2001,45,-25,50,-15,8,3.63959921615949,0.463185055247909
155,1224,128,2001,45,-25,50,-15,8,3.4453427439886,0.710905124585815
156,1232,136,2001,45,-25,50,-15,8,3.19455109950893,0.564999264162802
157,1240,144,2001,45,-25,50,-15,8,3.57426624644075,0.635217088211198
158,1248,152,2001,45,-25,50,-15,8,3.90547894210784,0.542687064614769
159,1256,160,2001,45,-25,50,-15,8,3.652960559678,0.467825586482799
160,1264,168,2001,45,-25,50,-15,8,3.35840856239594,0.440772953562401
161,1272,176,2001,45,-25,50,-15,8,3.47779941093202,0.432560121536329
162,1280,184,2001,45,-25,50,-15,8,3.30510950507194,0.414951216244191
163,1288,192,2001,45,-25,50,-15,8,3.04542582038854,0.435213415099035
164,1296,200,2001,45,-25,50,-15,8,2.88923025205316,0.429860128259133
165,1304,208,2001,45,-25,50,-15,8,2.66391769744158,0.439327791653927
166,1312,216,2001,45,-25,50,-15,8,2.68098093582581,0.482131265331814
167,1320,224,2001,45,-25,50,-15,8,2.65928928099712,0.464640894999176
168,1328,232,2001,45,-25,50,-15,8,2.55775018409042,0.519581653126824
169,1336,240,2001,45,-25,50,-15,8,2.35773032198425,0.402291390840582
170,1344,248,2001,45,-25,50,-15,8,2.39319143080699,0.45993651673849
171,1352,256,2001,45,-25,50,-15,8,2.44879106986199,0.432616366385231
172,1360,264,2001,45,-25,50,-15,8,2.48174706790777,0.415902496264991
173,1368,272,2001,45,-25,50,-15,8,2.52444730266219,0.575138158519379
174,1376,280,2001,45,-25,50,-15,8,2.8891388483025,0.523766976896188
175,1384,288,2001,45,-25,50,-15,8,2.53460439062222,0.490342544226001
176,1392,296,2001,45,-25,50,-15,8,2.38940497470992,0.680889884161324
177,1400,304,2001,45,-25,50,-15,8,2.71187528563217,0.664411257058137
178,1408,312,2001,45,-25,50,-15,8,2.34806377942885,0.742124011249363
179,1416,320,2001,45,-25,50,-15,8,2.06657811751486,0.74154859481685
180,1424,328,2001,45,-25,50,-15,8,1.23086987044535,1.22807477504638
181,1432,336,2001,45,-25,50,-15,8,2.03246563480419,0.986226487612371
182,1440,344,2001,45,-25,50,-15,8,2.51350211720234,0.882015773255834
183,1448,352,2001,45,-25,50,-15,8,1.38914189088704,1.23705605225544
184,1456,360,2001,45,-25,50,-15,8,1.77932816573351,0.820115539536886
185,1462,1,2002,45,-25,50,-15,8,1.32561179708897,1.20231950054679
186,1469,8,2002,45,-25,50,-15,8,1.32561179708897,1.20231950054679
187,1477,16,2002,45,-25,50,-15,8,1.60429182366074,1.11104924381741
188,1485,24,2002,45,-25,50,-15,8,2.50710574648271,0.947916506168591
189,1493,32,2002,45,-25,50,-15,8,2.41532919127657,0.78540804352155
190,1501,40,2002,45,-25,50,-15,8,2.39503310268312,0.922887745077116
