index,t,days,siteID,ps1,lpC,sdpC,lsdps1,mld,dmld,N0,light
99,779,48,5,13.7681009591371,12.6641613767354,5.87269473540989,0.408847957844496,134.373014294572,-3.10118767009011,16.5627625,51.2601500842885
100,787,56,5,11.5971920340695,9.31253705287,8.60734775741961,0.662421980691576,109.563512933851,-3.10118767467639,16.5627625,52.0211118808397
101,795,64,5,12.8935045031679,11.3812509567639,6.86389631098443,0.499512380448126,84.7540115364396,-3.10118769525655,16.5627625,64.0207637771483
102,803,72,5,13.9888880568619,11.4382459413857,9.84911557008556,0.634508718367889,59.9445099743872,1.18395624210851,16.5627625,66.145299857366
103,811,80,5,21.3827349434628,17.9219666308129,13.9150926590905,0.594233407872477,69.4161599112553,2.61233755119561,16.5627625,76.4828214322586
104,819,88,5,22.318888117907,19.2281455835948,13.1533561340087,0.546000365065899,90.3148603208201,2.61233755756172,16.5627625,79.75839422972
105,827,96,5,27.3298192621499,24.3851772625325,13.8304191968882,0.477499588039454,111.213560781314,2.61233753858752,16.5627625,96.941408657505
106,835,104,5,23.5585000684858,20.0304354466835,14.5852421149508,0.569620581202936,132.112261090014,-1.14801847104809,16.5627625,99.6369690296199
107,843,112,5,22.1513059801029,20.3115736764052,9.63912921575003,0.416426704362414,122.928113321629,-1.68521219786259,16.5627625,118.717978141293
108,851,120,5,16.5927008709892,14.1381959963565,10.1927800576404,0.565831814860792,109.446415738729,-1.6852121893358,16.5627625,95.0786425146661
109,859,128,5,24.2919958523807,22.2416493937341,10.6682545929075,0.419953038506554,95.9647182240423,-1.64349144918015,16.5627625,108.971007006893
110,867,136,5,38.1592627565149,36.2951576523064,12.3860186536081,0.316493893246673,82.8167866306011,-1.35144633892304,16.5627625,104.085034971278
111,875,144,5,34.2814155386555,31.2607952873441,15.4300499555375,0.429508138641864,72.0052159192168,-1.35144630945186,16.5627625,111.999924937061
112,883,152,5,37.0646975499558,33.9486471976799,16.2409042261667,0.41908462576456,61.1936454436019,-1.351446331845,16.5627625,129.284711306826
113,891,160,5,25.7795340648295,23.7165611575308,10.9838748923331,0.408429520750931,50.382074788842,-1.25356026477904,16.5627625,124.950078583545
114,899,168,5,29.022370484372,27.1655330687557,10.9124685141852,0.3636424767507,40.3535926706096,-0.959902042282955,16.5627625,139.790610873476
115,907,176,5,30.3043713715094,28.4893417070322,10.9882915333976,0.35145961264317,32.674376332346,-0.959902056296252,16.5627625,126.408329167189
116,915,184,5,33.3988765579876,31.1190701722501,13.0165082630296,0.37603575188666,24.995159881976,-0.9599020436282,16.5627625,117.501494992258
117,923,192,5,26.7601973004888,24.5797093210535,11.5190577113523,0.412296810464695,17.3159435329504,-0.358990883129752,16.5627625,95.1767038043809
118,931,200,5,24.4507365963774,23.0888595075701,8.52091369716895,0.338556090805761,14.4440164679124,0.241920283371582,16.5627625,92.4167074266261
119,939,208,5,21.841019821672,20.5164876413664,7.97381866784686,0.353725901910028,16.379378734885,0.241920282054283,16.5627625,80.5016394367774
120,947,216,5,18.7109144601723,17.6660682087559,6.52972124358627,0.339002257320942,18.3147409913193,0.241920280287871,16.5627625,120.509410021427
121,955,224,5,16.7124045610097,15.5980688890034,6.42906451198152,0.371494587713079,20.2501032336222,0.584826483765823,16.5627625,115.344790282728
122,963,232,5,16.4806772060403,15.0369021933201,7.39337724997504,0.428208570952735,24.9287151037488,0.790570205336233,16.5627625,91.3940715362216
123,971,240,5,12.7479522433795,11.6875385379949,5.55220599996051,0.416767221276384,31.2532767464387,0.790570209301596,16.5627625,98.8213611599092
124,979,248,5,11.2878977276054,9.94015071601809,6.07406339465827,0.504279626998237,37.5778384208515,0.79057020292928,16.5627625,84.7623568587314
125,987,256,5,9.93889827779806,8.80271140774152,5.21014859089068,0.492740070908004,43.9024000442857,1.03310752158572,16.5627625,81.7063438942567
126,995,264,5,11.1057271617527,9.63860554842517,6.35646389439972,0.532324131086371,52.1672602169715,1.11395329009534,16.5627625,76.1850269700213
127,1003,272,5,14.8900409318755,13.4986407755599,6.93273321758459,0.442952815905236,61.0788865377342,1.11395329270927,16.5627625,64.9692173794196
128,1011,280,5,11.9441415157542,10.6367517813855,6.1012526626768,0.481509615350661,69.9905128794084,1.11395329899876,16.5627625,56.8122153319779
129,1019,288,5,15.0020201399095,13.7591682575649,6.51884512605073,0.41588335804125,78.9021392713985,1.31568890468117,16.5627625,68.1376963516277
130,1027,296,5,17.8207132562996,16.1976462067953,8.17519436850537,0.437025196167581,89.4276505088478,1.31568890401887,16.5627625,47.3383641157284
131,1035,304,5,16.2157736694855,14.9706405220808,6.74975346767685,0.399733579413735,99.9531617409987,1.31568891121698,16.5627625,40.6190523410547
132,1043,312,5,12.425811764866,10.9096412689272,6.77479937697386,0.510154848402303,110.478673030735,1.43722669724374,16.5627625,39.9249139449033
133,1051,320,5,11.5271054155338,9.51034307640944,7.89492438881932,0.62019561984151,121.976486608684,2.28799126983107,16.5627625,43.0061449665815
134,1059,328,5,13.1411813732946,10.0718744896514,11.013121213367,0.729388895319267,140.280416767333,2.28799129591218,16.5627625,29.3380275374494
135,1067,336,5,14.2949474042292,11.2515039430364,11.2026274786375,0.691960031958646,158.58434713463,2.28799131307339,16.5627625,30.7224604632897
136,1075,344,5,9.59946380538632,7.86152717739645,6.72653594828801,0.6320227185186,176.888277639218,1.09944969227742,16.5627625,31.274936423432
137,1083,352,5,9.00031801665569,7.43498266956872,6.14002893255196,0.618164481205504,185.683875177437,-0.881452862438213,16.5627625,19.8724860484456
138,1091,360,5,5.75135648190797,3.91099208219907,6.20121247801084,0.878230796098449,178.632252277931,7.45448520191289,16.5627625,23.4249498812192
139,1097,1,5,10.339302765219,9.22346091420432,5.23737617901915,0.477916516847849,223.359163489409,0,16.5627625,26.3191871833473
140,1104,8,5,10.339302765219,9.22346091420432,5.23737617901915,0.477916516847849,223.359163489409,4.05503033666981,16.5627625,39.2183778522185
141,1112,16,5,11.1432594607556,10.0470601510579,5.34548058059635,0.455092766379836,255.799406182767,0.433730584507163,16.5627625,34.6016271596649
142,1120,24,5,13.7827547641119,12.2441749109446,7.12324683554182,0.486554929060401,259.269250858824,0.433730582479029,16.5627625,34.1662372301265
143,1128,32,5,11.7059310737993,10.2423430802004,6.47763168837928,0.516846655944045,262.739095518657,0.43373062478171,16.5627625,48.0687528213595
144,1136,40,5,9.87061448391738,7.50131726753371,8.44190547634133,0.74092303035951,266.20894051691,-0.0897528124848463,16.5627625,37.8215900440579
145,1144,48,5,7.81828206660178,6.22071716131311,5.95207246501036,0.676135558145153,265.490918017032,-1.66020282164217,16.5627625,45.6603072571815
146,1152,56,5,9.80095136218502,8.22510600019918,6.35087995440745,0.592095050829111,252.209295443894,-1.66020284506186,16.5627625,54.7335266712253
147,1160,64,5,11.6995608573035,9.94954525430171,7.23781159749835,0.569252949917123,238.927672683399,-1.66020286000441,16.5627625,61.6854697971018
148,1168,72,5,12.3692593589632,11.2652822844591,5.60860993208636,0.432408784667576,225.646049803364,-3.67992046018444,16.5627625,54.3488802819345
149,1176,80,5,10.1367360298429,8.81903317621802,5.74455788857299,0.527738209713232,196.206686121888,-4.35315972586476,16.5627625,76.3514647761356
150,1184,88,5,11.575041373161,9.91074855028634,6.98403853758936,0.557191697694024,161.38140831497,-4.35315969048277,16.5627625,89.1577413304739
151,1192,96,5,11.7780991437276,10.2229130320371,6.73927308291276,0.532184602447914,126.556130791108,-4.35315971206873,16.5627625,97.3279624398504
152,1200,104,5,9.05320623596199,7.01926651676352,7.37430454342428,0.71338663766422,91.7308530945583,-2.00928529598653,16.5627625,112.632153754422
153,1208,112,5,35.4587814292563,29.8457974353244,22.7462253787479,0.587072218569266,75.656570726666,-1.67444605845127,16.5627625,122.969293595656
154,1216,120,5,22.4634178097878,19.1449991262957,13.7872188784954,0.565414134289876,62.2610022590559,-1.67444609519923,16.5627625,62.55742768869
155,1224,128,5,31.4370990963612,26.0267888594765,21.2975900403348,0.614593112624519,48.8654334974621,-1.52061838509514,16.5627625,97.613865943915
156,1232,136,5,33.9020520150331,31.2485035427114,14.2649198533162,0.403742629824456,36.7004864167009,-0.443824517279869,16.5627625,101.096823816197
157,1240,144,5,40.6498336121276,38.3404710394282,14.3197120181435,0.342019646840373,33.149890278462,-0.443824520851994,16.5627625,110.567538544555
158,1248,152,5,50.8613950817454,47.8967684935886,18.1699426837894,0.346572217345009,29.599294111646,-0.443824511170397,16.5627625,122.375841021251
159,1256,160,5,46.9037720110682,42.0914119011117,23.0609178073545,0.465305000751438,26.0486980222828,-0.377610522733165,16.5627625,108.69912670353
160,1264,168,5,31.5352903115502,29.3316279369074,12.4515624482461,0.380633315616385,23.0278138404175,-0.178968530455614,16.5627625,141.515400104652
161,1272,176,5,32.6869519122112,30.7662845048914,11.7287666197308,0.348013053518868,21.5960655967726,-0.178968523986014,16.5627625,120.833208377847
162,1280,184,5,31.9341272786094,30.1796252834081,11.0461777082703,0.336179182522272,20.1643174048845,-0.178968530474226,16.5627625,129.428290469694
163,1288,192,5,29.324251464655,27.0050709820957,12.4112678796474,0.405931536569024,18.7325691610907,-0.0756435519984633,16.5627625,155.143238952843
164,1296,200,5,25.063006118801,23.53152634135,9.18824145516272,0.355110773162806,18.127420745103,0.027681421307427,16.5627625,124.656279233009
165,1304,208,5,19.7977767060946,18.3571932792791,7.9956708254268,0.388711054171195,18.3488721155624,0.0276814225554114,16.5627625,118.149549725965
166,1312,216,5,18.4199527250521,16.9791887535591,7.74754949687242,0.40359896225748,18.5703234960057,0.0276814241251993,16.5627625,120.517285420328
167,1320,224,5,18.3991838607937,16.9907978852019,7.64514630216174,0.399084982453691,18.7917748890073,0.112217055927546,16.5627625,110.66117664066
168,1328,232,5,17.5734430481493,15.9729236809328,8.06168182724736,0.437021340372924,19.6895113364276,0.162938442797295,16.5627625,102.346563763498
169,1336,240,5,14.0108772772716,12.3938857208547,7.38674070940296,0.495238755244174,20.993018878806,0.162938441213015,16.5627625,102.638665144937
170,1344,248,5,11.4344970801473,10.4652122574805,5.03400808041642,0.420899530673337,22.2965264085101,0.162938442621379,16.5627625,88.0061178323638
171,1352,256,5,11.3925224722136,10.3974000403583,5.10224420531305,0.427554529679641,23.6000339494812,1.03867574435348,16.5627625,86.1902804478441
172,1360,264,5,11.9016588356263,10.7143052801055,5.75626875040973,0.458471368204772,31.909439904309,1.3305881744913,16.5627625,99.5367834787087
173,1368,272,5,17.666947672334,14.4357979824372,12.4643706463686,0.635585459349797,42.5541453002394,1.33058818492832,16.5627625,61.5106986215584
174,1376,280,5,18.9755990033432,17.485112807274,8.00025087949021,0.404485027306559,53.1988507796659,1.33058817006648,16.5627625,53.1063194998929
175,1384,288,5,15.3152966535133,14.3422699434256,5.73637664876773,0.36232856100646,63.8435561401978,0.673129502650773,16.5627625,66.4956168087036
176,1392,296,5,14.8259693940481,13.4481196634234,6.88108263006566,0.441680965382346,69.2285921614039,0.673129501371756,16.5627625,47.788823114891
177,1400,304,5,11.3312096564555,9.74729815106301,6.71703193263629,0.548763521455721,74.613628172378,0.673129515200866,16.5627625,43.5379492157798
178,1408,312,5,8.96700170876457,7.81153024676722,5.05437808263992,0.525262760125241,79.9986642939849,0.72850638664017,16.5627625,25.8192266374257
179,1416,320,5,11.9530254001605,8.59404845454881,11.5546966144224,0.812298583497681,85.8267153871063,1.11614462926983,16.5627625,38.9468962952725
180,1424,328,5,10.6269504335788,8.43154200768969,8.15273981021887,0.680314036067096,94.7558724212649,1.11614461559389,16.5627625,26.8321269737171
181,1432,336,5,12.1656698073861,10.5728228712655,6.9248907605851,0.529775813424065,103.685029346016,1.11614462124804,16.5627625,34.6301428462296
182,1440,344,5,7.37757137596343,5.92694259863838,5.46840094930141,0.661718980490822,112.614186316,2.35691414331397,16.5627625,26.6717446681804
183,1448,352,5,5.84456631785814,4.31147617955177,5.34899755829405,0.780041086768938,131.469499462512,4.42486342659429,16.5627625,24.2693512683613
184,1456,360,5,14.8798686941295,13.9638268790778,5.47744144891846,0.356480051449364,166.868406875266,0.820550474524453,16.5627625,25.8228271236572
185,1462,1,5,5.68017350632329,4.19419416735215,5.18769103206876,0.778820327529521,171.791709722413,0,16.5627625,24.0558463569845
186,1469,8,5,5.68017350632329,4.19419416735215,5.18769103206876,0.778820327529521,171.791709722413,-0.0911419009582559,16.5627625,32.4722226265819
187,1477,16,5,10.7648807107174,9.17941163406821,6.59451073917894,0.564492584735457,171.062574514747,4.21080410059962,16.5627625,37.5219286755722
188,1485,24,5,12.9095780171858,10.8877687527293,8.2244623894393,0.583659989070776,204.749007319544,4.21080404873516,16.5627625,31.0354203516843
189,1493,32,5,12.6935533633761,11.3491555889816,6.35880131214369,0.473182653298235,238.435439709425,4.21080411953241,16.5627625,37.4995901596577
190,1501,40,5,13.3181850285196,11.7155649333638,7.20045691179244,0.506383457139898,272.121872665685,3.71887251266178,16.5627625,40.8088313989385
191,1509,48,5,7.05436659376346,5.36068588348683,6.03431136203057,0.741019392269002,301.872852766979,2.2430776221636,16.5627625,57.7582494392192
192,1517,56,5,7.18790639067304,6.05042891080833,4.61003626634789,0.586976629786488,319.817473744288,2.24307773855003,16.5627625,68.7211781500042
193,1525,64,5,10.1265943863619,8.18633655366741,7.37364918197147,0.652224777672085,337.762095652688,2.24307761662538,16.5627625,67.0697716319394
194,1533,72,5,12.4359304986019,10.8216057352956,7.04147896944249,0.527342842325841,355.706716585691,-3.39426356342106,16.5627625,56.623348800384
195,1541,80,5,12.7181842190917,11.3819059106378,6.34114834000135,0.47118553460234,328.552608078323,-5.27337727854655,16.5627625,74.7454614185124
196,1549,88,5,9.56821434025448,7.99502276979005,6.29077682436697,0.599378685730797,286.36558984995,-5.2733772710877,16.5627625,79.1974862252032
197,1557,96,5,15.8771531925227,14.2035949222411,7.93120349296171,0.471987444009043,244.178571681248,-5.27337725342158,16.5627625,83.4519393241636
